date,THEFT,DECEPTIVE PRACTICE,OTHER OFFENSE,MOTOR VEHICLE THEFT,CRIMINAL DAMAGE,ASSAULT,BATTERY,NARCOTICS,WEAPONS VIOLATION,OFFENSE INVOLVING CHILDREN,ROBBERY,CRIMINAL TRESPASS,LIQUOR LAW VIOLATION,BURGLARY,INTERFERENCE WITH PUBLIC OFFICER,CRIM SEXUAL ASSAULT,ARSON,CRIMINAL SEXUAL ASSAULT,PROSTITUTION,PUBLIC PEACE VIOLATION,SEX OFFENSE,STALKING,KIDNAPPING,INTIMIDATION,CONCEALED CARRY LICENSE VIOLATION,GAMBLING,OBSCENITY,HOMICIDE,NON-CRIMINAL,HUMAN TRAFFICKING,PUBLIC INDECENCY,NON-CRIMINAL (SUBJECT SPECIFIED),OTHER NARCOTIC VIOLATION,RITUALISM,city
2018-02-04,102,29,39,17,62,45,119,16,7,7,18,18,1,18,2,5,0,3,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,Chicago
2018-02-05,117,52,42,27,49,38,102,22,6,8,26,20,0,23,1,4,0,0,0,0,1,3,1,0,0,0,0,1,0,0,0,0,0,0,Chicago
2018-02-06,136,52,43,30,37,36,114,40,9,5,17,22,0,23,3,2,1,0,4,2,5,2,0,0,1,0,1,3,0,0,0,0,0,0,Chicago
2018-02-07,120,49,42,18,46,35,86,36,16,4,23,22,1,28,5,1,1,0,0,3,6,0,0,0,0,0,0,2,0,0,0,0,0,0,Chicago
2018-02-08,124,62,52,24,38,39,93,43,2,5,19,14,0,28,0,4,1,0,1,3,3,0,1,0,0,0,0,1,0,0,0,0,0,0,Chicago
2018-02-09,112,53,32,29,34,40,100,17,13,5,13,19,0,25,3,1,2,0,0,3,2,0,0,1,0,0,0,1,0,0,0,0,0,0,Chicago
2018-02-10,119,42,38,21,49,38,107,30,10,4,28,15,1,20,4,1,0,2,0,1,1,0,0,0,1,0,0,2,0,0,0,0,0,0,Chicago
2018-02-11,94,39,36,15,61,42,127,28,11,3,23,19,1,23,2,4,0,1,0,1,3,1,0,0,0,0,1,2,0,0,0,0,0,0,Chicago
2018-02-12,125,53,42,18,59,48,96,50,7,4,17,23,0,14,4,3,0,0,0,4,2,0,0,0,0,0,0,2,1,0,0,0,0,0,Chicago
2018-02-13,153,57,50,26,39,51,115,40,7,8,32,17,0,34,3,2,0,1,1,4,2,0,1,0,1,0,1,2,0,0,0,0,0,0,Chicago
2018-02-14,136,54,50,18,70,55,136,42,8,7,25,25,0,23,0,2,0,1,0,4,3,0,0,1,1,0,0,0,0,0,0,0,0,0,Chicago
2018-02-15,153,64,52,19,54,71,129,52,13,3,29,17,0,29,1,5,0,0,0,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,Chicago
