date,Investigate Person,Larceny,Harassment,Property Lost,Fraud,Auto Theft,Counterfeiting,Confidence Games,Commercial Burglary,Vandalism,Other,Missing Person Reported,Police Service Incidents,License Plate Related Incidents,Residential Burglary,Simple Assault,Property Found,Larceny From Motor Vehicle,Medical Assistance,Motor Vehicle Accident Response,Aggravated Assault,Landlord/Tenant Disputes,Investigate Property,Auto Theft Recovery,Missing Person Located,Embezzlement,Violations,Criminal Harassment,Disorderly Conduct,Warrant Arrests,Other Burglary,Restraining Order Violations,Recovered Stolen Property,Service,Property Related Damage,Robbery,Towed,Evading Fare,License Violation,Verbal Disputes,Fire Related Reports,Firearm Violations,Search Warrants,Operating Under the Influence,Drug Violation,Prisoner Related Incidents,Firearm Discovery,Ballistics,Liquor Violation,Homicide,Offenses Against Child / Family,Harbor Related Incidents,Arson,Assembly or Gathering Violations,Bomb Hoax,Aircraft,Phone Call Complaints,Prostitution,HUMAN TRAFFICKING,HOME INVASION,Explosives,,city
2018-01-21,20,18,0,8,2,4,2,1,2,12,9,4,0,0,1,14,2,7,19,27,8,0,9,1,9,0,2,0,1,3,0,0,0,0,0,3,3,0,9,14,1,0,0,0,3,0,0,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,Boston
2018-01-22,14,22,3,6,8,2,0,3,0,12,13,1,1,0,4,10,4,9,20,30,5,1,3,2,3,0,2,1,2,9,0,1,1,0,2,6,7,1,0,13,4,0,0,1,10,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,Boston
2018-01-23,14,28,3,8,6,2,0,3,1,10,22,3,8,0,9,11,4,10,20,33,2,0,10,2,4,0,3,0,1,5,0,3,0,0,0,1,6,1,0,11,2,1,0,1,17,0,2,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,Boston
2018-01-24,12,18,2,4,3,5,1,2,0,8,17,4,1,3,1,12,3,11,19,29,1,1,6,1,5,0,5,0,2,3,0,1,3,0,1,5,10,2,0,12,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-01-25,8,23,4,6,4,1,0,0,1,8,12,2,3,1,1,19,0,11,26,30,3,0,12,0,3,0,7,0,3,7,1,1,1,0,2,1,10,0,1,9,1,2,1,1,11,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,Boston
2018-01-26,23,20,10,8,3,4,2,2,1,6,20,5,7,1,1,14,4,12,20,35,8,2,11,1,7,1,0,0,2,9,0,2,2,0,1,6,5,0,3,10,0,5,1,0,17,1,1,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,Boston
2018-01-27,18,25,2,9,2,2,0,5,1,5,11,3,2,1,2,17,1,11,15,24,8,0,10,0,5,0,3,0,2,10,1,2,2,0,2,5,15,1,2,12,0,1,1,0,14,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,Boston
2018-01-28,15,28,4,4,4,6,1,2,2,8,8,2,1,0,1,16,0,16,16,25,8,0,8,3,3,0,5,0,5,11,0,0,3,0,0,4,6,1,1,11,4,2,0,2,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-01-29,18,23,3,5,7,6,1,2,1,14,12,6,2,0,6,17,3,4,30,31,4,1,11,2,8,0,8,0,1,6,0,2,2,0,0,2,13,1,0,7,0,1,1,0,21,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Boston
2018-01-30,10,17,4,2,1,1,1,2,0,11,16,0,4,2,8,20,4,9,24,38,8,2,12,1,1,0,1,0,3,8,0,5,1,0,0,2,13,0,0,12,0,0,2,0,14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston
