date,Investigate Person,Larceny,Harassment,Property Lost,Fraud,Auto Theft,Counterfeiting,Confidence Games,Commercial Burglary,Vandalism,Other,Missing Person Reported,Police Service Incidents,License Plate Related Incidents,Residential Burglary,Simple Assault,Property Found,Larceny From Motor Vehicle,Medical Assistance,Motor Vehicle Accident Response,Aggravated Assault,Landlord/Tenant Disputes,Investigate Property,Auto Theft Recovery,Missing Person Located,Embezzlement,Violations,Criminal Harassment,Disorderly Conduct,Warrant Arrests,Other Burglary,Restraining Order Violations,Recovered Stolen Property,Service,Property Related Damage,Robbery,Towed,Evading Fare,License Violation,Verbal Disputes,Fire Related Reports,Firearm Violations,Search Warrants,Operating Under the Influence,Drug Violation,Prisoner Related Incidents,Firearm Discovery,Ballistics,Liquor Violation,Homicide,Offenses Against Child / Family,Harbor Related Incidents,Arson,Assembly or Gathering Violations,Bomb Hoax,Aircraft,Phone Call Complaints,Prostitution,HUMAN TRAFFICKING,HOME INVASION,Explosives,,city
2018-03-18,6,18,4,14,2,1,0,3,0,16,16,1,2,1,1,22,5,5,15,35,11,0,9,0,6,0,7,1,1,1,0,1,0,1,0,4,7,0,8,17,1,0,0,0,5,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,Boston
2018-03-19,10,18,1,7,9,1,1,1,1,7,20,1,3,1,4,10,2,4,26,40,10,1,4,0,3,1,6,0,1,4,1,2,0,0,1,3,11,1,0,8,1,0,2,1,15,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Boston
2018-03-20,19,12,6,10,5,3,1,2,2,9,21,5,4,2,5,6,8,3,30,34,4,1,6,3,9,0,9,0,2,9,0,1,1,0,0,2,5,1,0,10,2,2,0,0,15,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-03-21,21,19,3,5,10,3,1,3,0,8,19,8,2,0,0,12,5,7,28,29,0,0,10,1,10,1,5,2,3,7,1,2,1,0,1,3,10,1,6,9,2,0,0,0,20,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-03-22,24,12,3,3,5,1,2,2,0,6,11,0,2,0,4,10,16,6,16,30,5,0,6,1,0,0,5,0,0,2,0,1,0,1,1,4,8,1,0,10,1,2,0,1,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-03-23,10,23,3,11,9,5,2,1,1,7,17,4,1,1,3,10,2,9,18,39,2,2,12,1,6,0,1,0,0,7,2,3,2,0,1,6,4,0,2,9,3,2,3,0,15,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,Boston
2018-03-24,11,25,3,7,4,1,1,6,0,11,13,2,2,0,2,12,6,8,18,30,7,0,15,0,5,0,5,0,1,4,1,0,1,0,0,5,11,0,4,6,0,1,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Boston
2018-03-25,12,26,2,5,3,2,0,2,1,10,16,1,1,1,0,15,5,12,21,35,9,3,5,1,2,0,6,0,3,4,1,0,1,0,0,3,11,0,1,5,0,1,0,3,11,1,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,Boston
2018-03-26,16,24,7,12,9,1,3,4,2,8,21,1,4,0,5,12,3,14,26,22,4,0,10,1,6,0,4,0,1,5,1,2,1,0,1,4,10,0,0,11,3,1,2,1,8,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,Boston
2018-03-27,26,19,8,13,8,4,1,5,0,6,16,2,4,0,0,19,2,6,21,33,7,0,7,0,3,0,10,0,1,13,1,3,1,0,1,1,8,0,0,6,3,2,0,0,22,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-03-28,14,26,2,5,4,2,0,2,5,13,13,3,5,1,6,16,10,4,22,27,7,2,9,0,10,0,2,0,2,9,0,1,1,1,1,2,7,0,5,10,2,6,2,0,17,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-03-29,11,21,4,6,7,1,1,3,0,7,22,1,1,0,4,14,4,12,15,35,7,0,5,1,3,0,5,0,2,6,0,0,1,0,0,1,14,0,3,14,1,1,0,1,11,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-03-30,15,26,2,13,5,4,3,4,0,10,11,3,4,1,4,10,8,8,22,29,6,1,6,1,5,0,3,0,2,7,0,1,1,0,0,4,10,0,4,13,1,0,0,0,17,2,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-03-31,15,14,2,19,5,5,0,3,0,11,13,0,4,0,6,21,0,4,21,30,8,0,9,0,3,0,2,0,3,4,0,2,1,0,2,4,9,0,1,12,2,0,0,3,14,0,1,0,0,1,1,0,0,5,0,0,0,0,0,0,0,0,Boston
2018-04-01,19,17,6,11,5,5,0,1,1,11,15,2,1,0,3,16,1,8,15,28,10,1,11,2,2,0,4,0,2,3,1,3,0,1,0,2,7,0,2,16,3,1,0,2,5,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,Boston
2018-04-02,15,25,6,4,6,3,1,7,1,5,11,1,7,0,8,20,4,8,26,27,4,1,10,1,3,0,8,0,0,8,0,3,2,1,1,1,9,1,1,17,1,1,1,0,16,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-04-03,15,20,8,9,10,2,1,1,0,7,17,1,3,1,5,8,7,3,22,40,6,2,10,0,3,0,3,0,2,3,1,0,1,1,1,4,9,1,0,6,1,1,0,0,13,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,Boston
2018-04-04,17,22,3,4,7,1,2,3,0,12,19,2,6,0,4,17,6,6,20,27,7,0,6,3,6,0,6,0,1,6,0,3,4,0,0,5,10,0,4,14,2,2,2,0,7,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Boston
2018-04-05,11,20,5,7,12,7,0,3,0,7,24,2,3,1,9,14,2,2,28,24,4,2,15,3,5,0,9,0,3,4,0,0,2,0,0,3,12,2,3,11,1,4,1,1,19,2,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,Boston
2018-04-06,12,18,5,15,5,3,0,1,1,7,12,5,3,1,3,13,2,10,21,20,7,0,12,1,5,0,7,0,0,6,0,1,0,0,0,1,11,0,3,2,3,0,1,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-04-07,14,20,6,8,8,4,0,2,0,9,10,2,2,1,2,20,6,15,22,39,3,2,12,1,3,0,1,1,3,4,0,2,0,1,0,5,15,0,7,11,1,0,2,0,12,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,Boston
2018-04-08,7,13,4,11,1,6,2,3,0,8,11,4,3,0,1,7,5,6,24,27,4,0,15,0,5,0,2,0,3,3,0,0,1,0,0,2,10,2,0,17,4,1,0,0,4,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-04-09,17,11,5,8,7,0,1,3,0,7,19,1,2,1,7,7,3,7,25,27,6,1,12,1,2,0,8,0,3,6,0,0,2,1,1,1,16,0,3,13,1,3,3,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-04-10,15,28,2,9,12,4,1,2,0,13,19,0,4,1,2,13,7,13,24,19,5,1,15,1,2,0,4,0,1,9,2,0,2,0,1,3,12,0,3,6,1,2,0,1,14,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-04-11,20,21,4,13,5,1,0,4,0,4,21,2,5,0,8,22,6,7,31,19,3,1,9,3,6,0,10,1,2,6,0,1,2,1,0,5,6,0,0,13,4,1,1,2,12,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Boston
2018-04-12,16,24,5,8,8,3,3,4,0,8,20,2,5,0,5,18,5,7,33,30,4,1,14,1,5,0,8,0,2,8,1,1,2,0,0,1,7,1,0,14,2,3,3,0,19,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,Boston
2018-04-13,14,26,2,9,6,5,2,4,1,11,13,3,4,0,3,17,4,7,19,36,9,1,9,0,7,0,5,0,0,15,1,2,2,0,0,4,5,0,1,6,3,3,2,0,14,0,0,0,5,0,1,0,0,1,1,0,0,0,0,0,0,0,Boston
2018-04-14,18,21,7,8,4,6,0,2,1,13,11,5,2,0,4,23,5,6,18,28,10,1,15,0,6,0,6,0,0,4,0,0,3,0,1,5,13,0,2,16,1,2,3,0,17,0,0,1,2,0,0,0,0,4,0,0,0,0,0,0,0,0,Boston
2018-04-15,16,15,0,8,2,3,2,1,1,6,7,5,2,1,1,11,3,6,13,32,3,1,11,0,8,0,7,0,0,1,1,0,1,0,2,3,16,1,1,13,0,2,0,1,7,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,Boston
2018-04-16,7,14,6,6,5,2,1,4,2,11,12,2,2,0,1,8,2,6,31,23,5,0,11,0,4,0,1,0,2,1,0,1,0,0,2,2,5,1,1,10,2,1,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Boston
2018-04-17,12,19,5,13,6,2,0,2,0,10,15,3,8,0,2,12,11,4,31,20,5,1,9,2,3,0,5,0,0,10,0,1,2,0,0,1,10,0,9,16,3,0,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-04-18,18,17,3,4,8,0,1,0,1,8,21,4,3,2,3,15,4,9,20,32,5,1,9,1,9,0,6,0,3,8,0,0,1,0,0,1,13,0,7,15,1,2,0,0,14,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-04-19,16,26,5,4,9,4,1,3,4,8,13,1,3,1,3,11,1,10,24,30,7,0,11,0,4,1,3,0,0,6,0,2,0,0,2,6,10,0,5,10,1,0,0,0,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-04-20,15,27,2,11,6,1,1,2,1,7,13,5,5,0,2,17,4,4,30,30,10,0,15,1,11,1,6,0,4,12,0,5,0,0,1,1,11,1,1,11,7,4,0,1,24,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,Boston
2018-04-21,11,28,3,11,5,3,1,3,2,11,12,3,1,2,3,17,3,9,24,26,10,1,3,0,7,0,9,0,4,5,0,0,1,2,0,3,9,1,1,11,2,3,0,1,15,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,Boston
2018-04-22,8,18,4,7,3,2,0,2,0,10,9,1,3,0,1,18,2,10,20,30,9,3,11,2,2,0,3,1,1,4,2,0,2,0,0,3,7,0,1,13,2,3,0,0,9,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,Boston
2018-04-23,10,16,9,11,4,3,1,3,3,9,10,3,2,1,0,9,0,4,25,39,7,0,9,1,7,0,1,0,1,6,0,2,0,2,0,3,14,0,2,10,3,4,1,1,19,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Boston
2018-04-24,17,16,2,16,8,3,1,2,2,9,15,3,4,2,1,10,3,8,30,32,8,2,10,2,7,0,6,0,4,9,0,1,2,0,0,0,11,1,0,5,1,2,1,0,12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Boston
2018-04-25,13,16,1,11,5,1,1,3,1,10,22,5,2,0,2,14,4,2,34,31,9,0,11,2,7,1,9,0,3,8,1,1,1,0,1,6,7,0,10,11,1,2,2,2,14,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Boston
2018-04-26,13,22,9,14,8,5,2,1,3,11,16,2,4,0,2,21,3,12,26,30,7,0,9,1,3,0,7,0,5,5,0,0,0,0,0,3,9,0,0,12,0,4,3,0,5,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Boston
2018-04-27,14,29,3,11,7,3,1,2,0,16,18,2,6,1,4,15,0,8,28,29,10,0,4,0,5,0,7,0,4,12,0,2,1,0,1,2,15,0,1,13,1,5,1,0,21,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-04-28,14,25,1,9,2,3,2,7,1,18,17,2,1,0,3,16,5,9,17,45,8,0,11,1,2,0,3,0,2,3,0,0,0,0,0,3,19,1,2,12,1,0,0,0,11,0,0,1,1,1,4,0,0,2,0,0,0,0,0,0,0,0,Boston
2018-04-29,13,21,2,8,4,1,0,3,1,12,14,4,1,0,4,16,1,6,33,27,9,0,5,0,5,0,1,0,4,5,1,0,1,0,0,3,12,0,2,11,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-04-30,17,22,5,15,8,8,0,3,0,3,18,6,4,0,3,13,4,7,17,32,7,0,12,2,7,1,7,0,1,5,0,1,2,0,0,3,11,1,2,11,1,0,0,0,19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-05-01,15,23,4,25,12,1,2,3,2,8,20,6,3,0,3,19,2,5,28,33,6,0,14,1,10,0,5,0,1,10,0,2,0,0,0,1,13,0,0,16,0,0,0,0,14,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Boston
2018-05-02,23,24,3,12,10,2,2,0,2,10,25,4,2,1,2,20,5,9,40,25,7,0,12,0,9,1,9,0,5,14,1,0,1,0,0,6,15,0,0,14,2,3,0,0,23,0,0,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,Boston
2018-05-03,17,21,4,10,7,5,3,5,0,6,15,4,4,0,1,14,3,7,35,30,8,0,11,2,5,1,3,1,0,9,0,4,2,0,0,2,7,2,0,17,2,2,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-05-04,19,19,5,12,9,3,2,3,2,19,17,3,4,1,1,23,1,9,34,36,9,1,14,1,8,0,6,0,4,8,2,0,1,1,0,2,12,0,1,18,2,6,1,0,20,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-05-05,14,29,1,13,3,7,0,1,3,15,14,6,2,1,2,21,3,8,22,31,12,2,23,0,10,0,2,0,1,2,0,0,0,1,4,5,10,0,1,12,2,2,1,1,5,0,2,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,Boston
2018-05-06,15,17,1,11,3,5,0,2,2,16,8,5,2,3,0,17,4,9,31,26,7,3,19,0,3,1,3,0,2,3,0,0,0,0,1,2,6,0,2,21,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-05-07,16,19,2,17,4,1,1,3,0,10,28,3,2,2,1,27,3,6,27,23,9,0,19,1,4,0,9,0,2,4,0,2,1,0,0,7,16,1,0,13,3,2,0,0,17,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,Boston
2018-05-08,16,22,3,8,9,4,1,4,0,13,17,3,1,1,5,13,4,3,21,29,6,2,9,0,8,0,9,0,1,8,0,1,2,0,1,2,14,1,1,13,0,0,0,1,12,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,Boston
2018-05-09,8,23,1,6,6,3,3,1,0,5,10,1,1,0,4,15,7,5,29,32,12,1,11,1,2,0,11,1,0,15,3,1,1,1,0,3,14,0,3,16,2,0,1,0,23,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Boston
2018-05-10,16,36,5,11,6,4,0,2,0,16,27,3,3,0,2,20,4,6,24,26,10,0,15,2,4,0,6,0,5,3,0,0,2,0,0,2,12,0,7,10,1,2,0,1,19,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-05-11,18,26,8,14,9,3,1,4,1,13,15,1,3,1,6,21,3,11,21,37,6,1,9,1,3,0,6,0,2,6,1,1,3,1,0,8,11,0,0,10,0,1,2,0,19,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-05-12,10,26,3,9,4,4,1,2,1,7,15,2,2,1,1,15,6,8,19,27,3,1,13,0,3,0,6,1,1,8,0,0,2,0,0,4,14,0,0,15,5,1,0,1,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-05-13,9,17,3,5,4,3,0,0,0,18,12,2,0,0,3,20,2,11,22,32,13,0,11,1,5,0,1,0,1,5,0,0,2,0,0,2,12,0,1,9,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Boston
2018-05-14,17,29,2,4,4,4,1,4,2,13,12,2,3,0,5,18,2,7,29,25,6,0,11,0,4,0,3,0,1,7,0,3,0,0,1,1,14,1,0,9,3,0,0,1,10,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Boston
2018-05-15,18,15,3,7,12,5,0,2,1,16,20,3,6,0,5,16,5,5,31,48,12,1,18,1,4,0,7,0,2,3,0,1,2,2,1,5,16,0,1,7,2,2,1,0,17,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,Boston
2018-05-16,12,19,4,9,7,2,1,3,2,11,11,2,3,0,3,14,9,9,24,25,3,2,9,0,7,0,3,0,1,10,0,1,1,0,0,3,7,0,0,15,3,1,2,0,16,0,1,3,0,0,2,0,0,1,0,0,1,0,0,0,0,0,Boston
2018-05-17,11,29,5,7,6,4,2,2,2,13,23,1,5,0,4,14,9,14,29,37,15,0,10,1,4,3,3,0,2,8,0,1,2,0,0,2,16,0,0,13,2,4,0,0,11,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-05-18,20,25,3,9,6,5,1,0,1,19,19,2,4,0,4,20,0,7,22,37,9,0,9,4,4,0,6,0,1,8,1,0,3,0,1,2,13,1,0,11,5,2,0,1,27,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,Boston
2018-05-19,12,21,1,10,4,11,1,1,2,13,14,3,2,2,1,22,6,7,23,22,6,2,12,1,4,0,6,0,3,6,0,2,4,0,2,1,12,0,3,13,2,1,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-05-20,10,21,5,5,3,2,0,4,2,11,22,1,1,0,5,18,7,11,20,27,8,1,13,0,3,0,5,0,2,3,1,1,1,0,0,4,11,0,1,15,1,1,0,0,13,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-05-21,18,23,9,8,4,9,1,7,1,11,22,4,2,0,3,21,7,5,22,28,12,1,9,3,6,0,6,0,1,7,2,1,4,0,1,6,14,1,1,7,1,2,0,0,12,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,Boston
2018-05-22,19,22,10,10,6,2,2,1,4,8,27,0,3,0,4,17,4,5,21,45,5,2,11,0,1,0,3,1,1,9,2,1,0,1,1,3,15,0,0,13,1,1,0,0,9,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-05-23,22,23,2,13,7,5,1,1,2,11,23,3,6,0,10,18,5,14,37,34,4,2,8,2,7,0,6,0,0,17,1,3,3,0,0,3,9,1,1,12,0,3,0,0,11,0,3,1,0,0,3,0,0,1,0,1,1,0,0,0,0,0,Boston
2018-05-24,9,23,5,10,6,4,2,4,0,10,13,2,4,0,5,22,7,8,25,33,5,1,7,2,3,0,2,0,3,10,0,2,0,0,0,6,16,2,3,9,0,2,2,2,18,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-05-25,21,16,5,11,5,1,0,1,0,14,20,4,2,0,7,21,2,10,24,44,3,1,9,0,8,0,5,0,0,5,2,4,2,0,0,5,12,0,1,10,0,1,1,2,18,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-05-26,18,20,1,9,6,5,0,1,2,13,16,0,5,1,4,14,2,11,29,36,13,0,12,0,7,0,4,0,2,8,1,1,0,0,1,3,8,0,1,16,3,2,1,0,13,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Boston
2018-05-27,15,13,3,16,4,6,1,4,0,16,14,3,5,0,3,17,1,10,29,32,3,1,14,1,3,0,1,0,1,2,0,1,3,0,0,2,7,0,1,16,1,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-05-28,16,12,1,6,7,5,3,3,2,12,15,3,1,1,2,10,4,8,26,26,7,1,9,3,6,0,1,0,4,3,0,0,0,0,1,2,10,2,1,12,1,2,0,1,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-05-29,19,28,2,14,4,2,0,1,1,15,19,1,2,0,1,17,3,11,17,39,5,1,9,1,5,1,6,1,4,8,0,1,0,1,1,4,17,0,0,13,3,5,0,0,13,0,1,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,Boston
2018-05-30,24,16,7,12,10,3,3,1,0,17,15,5,5,1,1,22,3,10,17,37,12,1,9,0,5,0,7,0,3,10,0,2,3,1,2,3,7,0,0,12,1,0,0,1,9,0,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,Boston
2018-05-31,23,34,8,8,10,0,0,2,3,15,22,5,3,0,8,14,2,13,30,29,8,2,6,0,6,0,10,0,0,7,1,1,0,1,0,1,7,1,1,15,2,0,0,1,12,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-06-01,19,24,7,17,14,2,3,5,2,11,24,4,1,0,3,19,1,5,31,39,5,1,11,1,7,0,7,0,0,9,0,1,1,0,0,0,16,0,2,15,0,2,2,0,12,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-06-02,14,24,2,10,3,4,1,1,1,12,11,3,1,1,5,19,5,6,27,45,10,1,15,0,6,1,3,0,2,4,0,0,1,2,1,7,18,0,4,16,0,1,0,1,6,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Boston
2018-06-03,11,21,1,7,4,3,0,0,0,8,8,1,1,0,2,16,2,5,26,39,7,1,5,0,3,0,4,0,4,3,0,2,0,0,0,3,6,0,2,9,1,2,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-06-04,15,16,4,14,10,6,1,4,1,13,14,1,4,0,6,10,1,10,33,37,5,1,9,4,5,1,2,0,1,8,2,3,1,0,2,2,13,1,1,8,1,1,2,0,17,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,Boston
2018-06-05,16,26,4,15,4,7,2,2,0,12,18,3,9,0,3,14,4,6,31,31,10,1,14,0,7,1,8,0,3,8,0,0,2,0,1,8,9,0,0,11,2,0,2,0,19,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-06-06,14,27,4,10,9,5,0,2,0,5,21,0,4,0,4,18,3,7,21,35,9,2,14,1,3,1,7,0,4,4,0,0,2,1,2,5,8,1,1,13,1,2,1,2,21,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,Boston
2018-06-07,19,25,3,6,7,7,2,4,0,14,17,4,7,2,6,11,1,11,27,31,11,1,21,1,5,1,8,0,2,12,0,1,1,0,0,5,11,1,1,11,2,0,1,0,24,0,1,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-06-08,9,23,3,8,9,1,1,5,1,18,19,4,4,0,4,19,3,13,25,48,5,0,19,1,5,0,7,0,0,7,0,0,3,1,0,4,11,0,1,12,3,3,2,0,7,1,0,3,3,0,1,0,0,1,0,0,0,0,0,0,0,0,Boston
2018-06-09,5,22,0,18,2,4,1,4,1,15,5,4,4,0,4,17,4,12,27,38,23,1,13,1,6,0,3,0,2,5,0,2,0,0,0,3,15,1,2,11,3,3,1,0,6,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Boston
2018-06-10,10,19,4,9,3,4,1,0,0,14,14,3,2,0,6,18,1,10,19,22,6,3,14,1,7,0,5,0,1,4,0,2,0,0,2,4,9,0,0,22,0,3,0,1,4,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Boston
2018-06-11,13,25,2,18,7,5,1,3,3,13,19,5,5,0,6,14,4,14,35,40,8,0,16,0,5,0,4,0,0,5,0,1,3,0,2,1,9,0,0,14,2,2,0,0,15,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Boston
2018-06-12,27,15,3,9,4,7,1,2,2,14,11,1,8,0,2,15,3,14,22,31,18,1,12,2,2,0,3,0,0,10,1,1,3,0,1,3,8,0,3,14,2,0,0,1,27,0,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-06-13,12,22,2,7,9,9,1,2,0,10,14,4,5,0,5,7,2,8,24,40,7,0,10,2,5,0,5,0,1,9,0,1,3,0,1,2,15,0,2,14,1,3,0,0,31,0,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-06-14,18,24,4,12,11,10,1,0,0,18,22,4,7,2,8,20,2,11,27,33,9,0,16,3,8,0,5,0,1,13,0,2,1,2,0,2,12,0,0,13,1,2,1,0,15,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-06-15,12,27,6,22,10,5,2,7,0,12,20,4,6,1,5,15,3,12,34,40,6,0,19,3,10,0,11,0,2,8,0,1,4,0,2,5,22,0,1,17,2,2,0,1,12,0,2,1,4,0,2,0,0,0,0,0,0,0,0,1,0,0,Boston
2018-06-16,21,19,2,9,5,4,1,2,1,10,6,5,3,0,5,21,6,8,26,27,13,0,14,1,7,0,7,0,1,6,0,1,0,1,0,2,13,0,2,16,3,0,0,1,3,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,Boston
2018-06-17,11,21,2,11,7,10,1,0,1,12,9,1,2,0,8,29,3,11,25,30,10,1,8,0,3,0,5,0,5,5,0,1,2,1,1,4,4,0,0,5,3,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-06-18,16,20,5,10,9,3,2,2,1,15,19,2,1,1,6,19,4,12,22,39,8,0,13,0,4,0,7,1,1,9,1,0,3,1,1,2,14,0,0,13,1,0,0,1,12,0,2,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,Boston
2018-06-19,14,21,4,7,6,6,2,1,0,14,19,1,4,0,2,20,6,12,31,35,3,0,14,1,6,1,5,0,0,7,0,0,0,0,0,3,14,0,2,11,3,1,0,0,14,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-06-20,15,28,7,11,5,3,1,0,1,12,20,3,6,0,8,20,1,11,23,26,8,0,10,1,7,2,4,0,1,14,0,4,4,1,0,0,13,0,2,10,2,1,3,0,15,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,Boston
2018-06-21,8,24,3,9,1,9,1,0,0,20,13,4,4,0,7,21,4,12,26,33,3,1,13,3,8,0,1,0,3,9,0,0,4,0,2,4,9,0,1,11,2,0,0,0,12,1,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,Boston
2018-06-22,20,15,5,16,3,1,2,4,0,19,7,2,3,1,5,21,5,8,32,41,10,0,10,0,6,0,3,0,2,1,1,1,0,0,2,6,7,1,0,8,1,0,0,0,16,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,Boston
2018-06-23,13,17,6,12,4,3,1,3,1,15,12,0,1,0,3,13,9,11,22,30,11,1,17,0,1,0,6,0,2,3,0,0,3,0,0,5,16,0,0,17,2,3,0,2,10,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Boston
2018-06-24,8,22,3,7,1,4,0,3,1,19,17,5,3,0,2,19,1,15,27,42,7,0,14,1,5,0,4,0,3,6,1,0,1,0,1,7,9,0,2,13,1,0,0,0,10,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,Boston
2018-06-25,18,32,1,11,5,8,0,6,2,18,18,1,4,0,4,12,9,15,21,28,4,0,12,1,6,0,3,0,2,7,2,0,2,1,0,4,17,0,0,15,0,4,2,0,29,0,1,3,1,0,2,0,1,0,0,0,0,0,0,1,0,0,Boston
