city,month_year,monthly_cases,robbery,assault,drugs,theft,weapons offense,breaking & entering,property crime,theft of vehicle,theft from vehicle,liquor,arson,disorder,traffic,vehicle recovery,family offense,kidnapping,homicide
Memphis,2019-10-01,0.0,0.6277602523659306,0.7817719680464779,0.5590551181102362,0.9140334572490706,0.3063063063063063,0.8430884184308842,0.7446176688938382,0.6268382352941176,0.6430131004366813,0.5185185185185185,0.5348837209302325,0.7924528301886793,0.7236842105263158,0.6842105263157895,0.4583333333333333,0.5,0.40476190476190477
Memphis,2019-11-01,0.0,0.5362776025236593,0.6902687000726216,0.5889763779527559,0.8169144981412639,0.2702702702702703,0.7198007471980075,0.6733481811432813,0.6433823529411765,0.5436681222707423,0.37037037037037035,0.5581395348837209,0.6933962264150944,0.618421052631579,0.49122807017543857,0.5208333333333334,0.375,0.47619047619047616
Memphis,2019-12-01,0.0,0.722397476340694,0.7766884531590414,0.5826771653543307,0.9172862453531598,0.32732732732732733,0.7646326276463262,0.7364513734224202,0.6875,0.6135371179039302,0.6666666666666666,0.6046511627906976,0.7924528301886793,0.9078947368421053,0.8245614035087719,0.8125,0.5833333333333334,0.6904761904761905
Memphis,2020-01-01,0.0,0.722397476340694,0.7454611474219317,0.6047244094488189,0.8880111524163569,0.5165165165165165,0.6077210460772104,0.7074981440237565,0.7738970588235294,0.5873362445414847,0.3333333333333333,0.5813953488372093,0.8773584905660378,0.618421052631579,0.6491228070175439,0.8333333333333334,0.375,0.5238095238095238
Memphis,2020-02-01,0.0,0.5141955835962145,0.6790123456790124,0.5637795275590551,0.8113382899628253,0.5105105105105106,0.6014943960149439,0.6184112843355605,0.6856617647058824,0.5436681222707423,0.48148148148148145,0.5348837209302325,0.8537735849056604,0.6973684210526315,0.7017543859649122,0.4791666666666667,0.5833333333333334,0.38095238095238093
Memphis,2020-03-01,0.017557533740821266,0.555205047318612,0.739288307915759,0.510236220472441,0.7704460966542751,0.5375375375375375,0.5616438356164384,0.7446176688938382,0.7095588235294118,0.5567685589519651,0.5925925925925926,0.6046511627906976,0.6415094339622641,0.4868421052631579,0.5964912280701754,0.4791666666666667,0.5833333333333334,0.5
Memphis,2020-04-01,0.08897731468187225,0.4952681388012618,0.7106027596223675,0.494488188976378,0.7091078066914498,0.5255255255255256,0.5379825653798257,0.7802524127691166,0.6819852941176471,0.6572052401746725,0.2962962962962963,0.6744186046511628,0.4528301886792453,0.42105263157894735,0.7368421052631579,0.4375,0.2916666666666667,0.5714285714285714
Memphis,2020-05-01,0.10669893752307504,0.5646687697160884,0.9077705156136529,1.0,0.7077137546468402,0.9669669669669669,0.5653798256537983,0.8389012620638456,0.53125,0.5545851528384279,0.6666666666666666,1.0,0.7028301886792453,0.8289473684210527,0.631578947368421,0.4166666666666667,0.5416666666666666,0.7380952380952381
Memphis,2020-06-01,0.20310128399721047,0.5709779179810726,0.8663761801016703,0.384251968503937,0.7681226765799256,0.6126126126126126,0.6276463262764632,0.8841870824053452,0.6746323529411765,0.6255458515283843,0.1111111111111111,0.8604651162790697,0.6698113207547169,0.5789473684210527,0.543859649122807,0.6458333333333334,0.5,0.7380952380952381
Memphis,2020-07-01,0.45042458054723716,0.5583596214511041,0.8623819898329702,0.462992125984252,0.6621747211895911,0.7447447447447447,0.5815691158156912,0.9977728285077951,0.6507352941176471,0.7106986899563319,0.2962962962962963,0.7674418604651163,0.8820754716981132,0.4342105263157895,0.5964912280701754,0.3125,0.5,0.9523809523809523
Memphis,2020-08-01,0.25532264019362516,0.526813880126183,0.8696441539578794,0.7653543307086614,0.7295539033457249,0.9669669669669669,0.539227895392279,0.8307349665924276,0.7224264705882353,0.7161572052401747,0.2962962962962963,0.6976744186046512,0.7688679245283019,0.6052631578947368,0.8596491228070176,0.5208333333333334,0.4583333333333333,0.6428571428571429
Memphis,2020-09-01,0.1649095458834147,0.6498422712933754,0.8311546840958606,0.768503937007874,0.7002788104089219,0.8378378378378378,0.5255292652552926,0.8715664439495174,0.6433823529411765,0.8286026200873362,0.37037037037037035,0.6046511627906976,0.6367924528301887,0.618421052631579,0.7543859649122807,0.7291666666666666,0.625,0.6666666666666666
Memphis,2020-10-01,0.2456824055462116,0.6151419558359621,0.79920116194626,0.6740157480314961,0.779275092936803,0.8348348348348348,0.6313823163138231,0.7832219747587231,0.6709558823529411,0.6703056768558951,0.48148148148148145,0.6046511627906976,0.6650943396226415,0.7631578947368421,0.8421052631578947,0.9583333333333334,0.7083333333333334,0.6666666666666666
Memphis,2020-11-01,0.4505886696476187,0.5173501577287066,0.7563543936092956,0.6094488188976378,0.7936802973977695,0.7477477477477478,0.5255292652552926,0.7520415738678545,0.8308823529411765,0.7270742358078602,0.2222222222222222,0.7209302325581395,0.6839622641509434,0.5921052631578947,0.8245614035087719,0.4791666666666667,0.6666666666666666,0.8571428571428571
Memphis,2020-12-01,0.769947081265127,0.6624605678233438,0.719680464778504,0.38740157480314963,0.8559479553903345,0.7597597597597597,0.6151930261519303,0.791388270230141,0.9595588235294118,0.8275109170305677,0.48148148148148145,0.7209302325581395,0.6792452830188679,0.4473684210526316,0.6491228070175439,0.5625,0.5833333333333334,0.8571428571428571
Memphis,2021-01-01,0.601632686548796,0.5331230283911672,0.7004357298474946,0.6677165354330709,0.7676579925650557,0.7987987987987988,0.49066002490660027,0.8114328136599851,0.9540441176470589,0.7445414847161572,0.3333333333333333,0.4883720930232558,0.7216981132075472,0.5394736842105263,0.8596491228070176,0.4791666666666667,0.4583333333333333,0.7619047619047619
Memphis,2021-02-01,0.19809656643557452,0.34069400630914826,0.5784313725490197,0.4220472440944882,0.5190520446096655,0.5645645645645646,0.3835616438356164,0.5248700816629547,0.7886029411764706,0.435589519650655,0.18518518518518517,0.4186046511627907,0.5707547169811321,0.27631578947368424,0.6140350877192983,0.6458333333333334,0.4166666666666667,0.6904761904761905
Memphis,2021-03-01,0.1363990646921278,0.4637223974763407,0.7857661583151779,0.9165354330708662,0.671003717472119,1.0,0.40099626400996263,0.7290274684484038,0.7150735294117647,0.5644104803493449,0.2962962962962963,0.8372093023255814,0.6745283018867925,0.9210526315789473,0.5964912280701754,0.5833333333333334,0.375,0.5
Memphis,2021-04-01,0.17647782746031096,0.4889589905362776,0.8090050835148874,0.7826771653543307,0.6287174721189591,0.8798798798798799,0.47820672478206727,0.6874536005939124,0.5808823529411765,0.4585152838427948,0.37037037037037035,0.9069767441860465,0.5566037735849056,0.6710526315789473,0.5087719298245614,0.5625,0.3333333333333333,0.5
Memphis,2021-05-01,0.12700496369528655,0.5520504731861199,0.9244734931009441,0.7275590551181103,0.7309479553903345,0.9069069069069069,0.5205479452054794,0.835931700074239,0.7867647058823529,0.6648471615720524,0.4074074074074074,0.8604651162790697,0.7122641509433962,0.8947368421052632,0.8070175438596491,0.4375,0.625,0.5238095238095238
Memphis,2021-06-01,0.05509291545309103,0.4794952681388013,0.8943355119825708,0.5921259842519685,0.7170074349442379,0.8108108108108109,0.5093399750933998,0.8448403860430587,0.7408088235294118,0.5447598253275109,0.48148148148148145,1.0,0.7169811320754716,0.6973684210526315,0.6140350877192983,0.5416666666666666,0.6666666666666666,0.7142857142857143
